Rede,Nome Fantasia,Logradouro,Bairro,Cep,Ddd,Telefone,Uf,Municipio,DtAbertutra,codUnidade,Cnpj,Categoria,Classsificação,Fontes,Cnes,Latitude,Longitude,Email
Mmartan,Plaza Niteroi,"Rua Quinze de Novembro, 08, Lojas 309A",Centro,24020125,,2126135461,RJ,Niterói,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-22.896349,-43.124398,plazaniteroi@mmartan.com.br
Mmartan,Outlet Premium São Paulo,"null, 9999, Loja 04",,13295000,,(19) 993579130,SP,Itupeva,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-23.108379,-47.008777,premium@mmartan.com.br
Mmartan,Morumbi Shopping,"Avenida Roque Petroni Júnior, 1089, Loja 93",Jardim das Acácias,04707000,,(19) 991259106,SP,São Paulo,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-23.622104,-46.697787,morumbi@mmartan.com.br
Mmartan,Rebouças,"Avenida Rebouças, 2121",Pinheiros,05401300,,(19) 995227380,SP,São Paulo,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-23.565881,-46.680727,reboucas@mmartan.com.br
Mmartan,Shopping Villa Lobos,"Avenida Doutora Ruth Cardoso, 4777, Loja 135, Térreo",Jardim Universidade Pinheiros,05477000,,(19) 995227380,SP,São Paulo,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-23.551773,-46.72243,villalobos@mmartan.com.br
Mmartan,Anchieta,"Rua Camila Basso, 12, Anexo 34",Demarchi,09811260,,(19) 991241218,SP,São Bernardo do Campo,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-23.723864,-46.553614,anchieta@mmartan.com.br
Mmartan,Tatuapé,"Rua Cantagalo, 1371",Vila Gomes Cardim,03319001,,(19) 991244663,SP,São Paulo,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-23.544471,-46.561163,tatuape@mmartan.com.br
Mmartan,Center Norte,"Travessa Casalbuono, 120, Loja 223, Térreo",Vila Guilherme,02047050,,(19) 991261785,SP,São Paulo,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-23.516031,-46.617929,cnorte@mmartan.com.br
Mmartan,Pacaembu,"Avenida Pacaembu, 885",Pacaembu,01234001,,(19) 991252928,SP,São Paulo,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-23.534249,-46.661958,pacaembu@mmartan.com.br
Mmartan,Galleria Shopping,"Avenida Selma Parada, 505, Loja A 210",Jardim Madalena,13091605,,(19) 999505856,SP,Campinas,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-22.863758,-47.023432,galleria@mmartan.com.br
Mmartan,Divinópolis,"Rua São Paulo, 462",Centro,35500006,,(37) 988445555,MG,Divinópolis,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-20.143838,-44.88942,fr_divinopolis@mmartan.com.br
Mmartan,Catuai Shopping Londrina,"Rodovia Celso Garcia Cid km 377,  KM 377,  Loja A10/11, Térreo",Gleba Fazenda Palhano,86050901,,(43) 999217500,PR,Londrina,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-23.342401,-51.183791,fr_londrina@mmartan.com.br
Mmartan,Balneário Camboriú,"Avenida Brasil, 1300",Centro,88330048,,(47) 21257841,SC,Balneário Camboriú,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-26.985878,-48.637539,fr_bcm@mmartan.com.br
Mmartan,Chapecó,"Rua Marechal José B. Bormann - D,  82 D",Centro,89801050,,(49) 999702961,SC,Chapecó,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-27.101649,-52.614243,fr_chapeco@mmartan.com.br
Mmartan,Balneário Camboriu Shopping,"Avenida Santa Catarina, 01, Loja 59, Térreo",Estados,88339005,,(47) 96133493,SC,Balneário Camboriú,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-26.992863,-48.64604,fr_balneario@mmartan.com.br
Mmartan,Shopping Itaguaçu,"Rua Gerôncio Thives 1079, 1079, Lojas 267/268, Térreo",Barreiros,88117900,,(15) 997255625,SC,São José,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-27.585346,-48.614626,fr_itaguacu@mmartan.com.br
Mmartan,Shopping Estação Cuiabá,"Avenida Miguel Sutil,  S/N, Loja 2073 Pavimento L2",Santa Rosa,78040365,,(65) 996159127,MT,Cuiabá,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-15.589701,-56.118222,fr_seb@mmartan.com.br
Mmartan,Shopping Jaraguá Araraquara,"Acesso Engenheiro Heitor de Souza Pinheiro, 2270,  Loja 11, Térreo",Vila Santana,14801600,,(16) 981606991,SP,Araraquara,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-21.784483,-48.202082,fr_araraquara@mmartan.com.br
Mmartan,Sorocaba,"Avenida Antônio Carlos Comitre, 426",Parque Campolim,18047620,,(15) 997631525,SP,Sorocaba,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-23.519779,-47.466908,fr_esplanada@mmartan.com.br
Mmartan,Araçatuba,"Avenida Brasília, 1464",Vila Santa Maria,16015645,,(18) 981107475,SP,Araçatuba,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-21.22016,-50.437684,fr_aracatuba@mmartan.com.br
Mmartan,Americana,"Rua Fortunato Faraone, 382",Jardim Girassol,13465660,,(19) 999988300,SP,Americana,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-22.74414,-47.336876,fr_americana@mmartan.com.br
Mmartan,São Luis,"Avenida dos Holandeses, 7,  Quadra 07, Loja 02",Calhau,65071380,,(98) 989302510,MA,São Luís,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-2.493441,-44.269723,saoluis@mmartan.com.br
Mmartan,Marília Shopping,"Rua dos Tucunarés, 500,  Lojas 35/36, Térreo",Jardim Maria Martha,17507280,,(14) 996296104,SP,Marília,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-22.186754,-49.966844,fr_marilia@mmartan.com.br
Mmartan,Shopping Vila Velha,"Rua Luciano das Neves 2418, 2418, Loja 2061, 2° Piso",Divino Espírito Santo,29107900,,(27) 992563562,ES,Vila Velha,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-20.352033,-40.297881,fr_vilavelha@mmartan.com.br
Mmartan,Outlet Premium Grande São Paulo,"Estrada de São Bento, 9550, LOJA 222",Jardim Josely,08590315,,(11) 43804969,SP,Itaquaquecetuba,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-23.432803,-46.270427,outletgrandesaopaulo@mmartan.com.br
Mmartan,Mooca Plaza Shopping,"Rua Capitão Pacheco e Chaves, 313,  Loja 1093, 1º Piso",Vila Prudente,03126000,,(11) 989314228,SP,São Paulo,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-23.581441,-46.595049,fr_shoppingmooca@mmartan.com.br
Mmartan,Shopping Curitiba,"Rua Brigadeiro Franco, 2300, Lojas 321/322",Centro,80250030,,(41) 30147121,PR,Curitiba,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-25.441066,-49.277339,fr_sca@mmartan.com.br
Mmartan,Plaza Shopping Recife,"Rua Doutor João Santos Filho 255, 255,  Lojas 07/08, 2º Piso",Casa Forte,52060904,,(81) 996707777,PE,Recife,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-8.036731,-34.912982,fr_plazarecife@mmartan.com.br
Mmartan,Moema,"Alameda dos Nhambiquaras, 511",Indianópolis,04090010,,(11) 944903011,SP,São Paulo,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-23.604381,-46.656827,fr_moema@mmartan.com.br
Mmartan,Taguatinga Shopping,"QS 1 Rua 210 Lote 40,  Lote 40,  Lojas 2100/2101/2102/2103, 2º Piso",Areal (Águas Claras),71950904,,(61) 981012343,DF,Brasília,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-15.841578,-48.043594,fr_taguatinga@mmartan.com.br
Mmartan,Midway Mall,"Avenida Bernardo Vieira 3775, 3775,  Loja 343, B L3",Tirol,59015900,,(84) 999284477,RN,Natal,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-5.812089,-35.206701,fr_midway@mmartan.com.br
Mmartan,Partage Shopping Mossoró,"Rua Sebastião Saraiva, 1515,  Loja 85/86, Térreo",Aeroporto,59607300,,(88) 81300444,RN,Mossoró,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-5.171225,-37.375938,fr_mossoro@mmartan.com.br
Mmartan,Catanduva,"Rua Minas Gerais, 451",Centro,15800210,,(17) 991432422,SP,Catanduva,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-21.137186,-48.974795,fr_catanduva@mmartan.com.br
Mmartan,Jundiaí,"Rua do Retiro, 1150",Jardim Paris,13209201,,(11) 955554809,SP,Jundiaí,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-23.185151,-46.898541,fr_jundiai@mmartan.com.br
Mmartan,Park Shopping Canoas,"Avenida Farroupilha, 4545,  Loja 3125, 3º Piso",Marechal Rondon,92020475,,(51) 81219220,RS,Canoas,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-29.915849,-51.165783,fr_parkshopcanoas@mmartan.com.br
Mmartan,Shopping ABC,"Avenida Pereira Barreto, 42, Lojas 242, 2º Piso",Paraíso,09190210,,(11) 945223836,SP,Santo André,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-23.668524,-46.533206,fr_abcshopping@mmartan.com.br
Mmartan,Iguatemi São José do Rio Preto,"Avenida Presidente Juscelino Kubitschek de Oliveira, 5000,  Loja 1080, 1º Piso",Iguatemi,15093340,,(17) 997815009,SP,São José do Rio Preto,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-20.866195,-49.414681,fr_iriopreto@mmartan.com.br
Mmartan,Shopping Mueller Curitiba,"Avenida Cândido de Abreu 127, 127, Loja 021, Piso ML",Centro Cívico,80530900,,(41) 997634011,PR,Curitiba,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-25.423316,-49.270288,fr_smu@mmartan.com.br
